column,source_table,source_position,audit_note
source_id,condition fact tables,see source_position_contract,Mapped from S4 accepted first-party condition-stat positions.
snapshot_id,condition fact tables,see source_position_contract,Mapped from S4 accepted first-party condition-stat positions.
source_table,condition fact tables,see source_position_contract,Mapped from S4 accepted first-party condition-stat positions.
source_record_id,condition fact tables,see source_position_contract,Mapped from S4 accepted first-party condition-stat positions.
geography_type,derived_or_optional_public_context,see source_position_contract,Derived audit field or optional public comparator context.
geography_level_role,derived_or_optional_public_context,see source_position_contract,Derived audit field or optional public comparator context.
source_geography_id,condition fact tables,see source_position_contract,Mapped from S4 accepted first-party condition-stat positions.
geography_id,condition fact tables,see source_position_contract,Mapped from S4 accepted first-party condition-stat positions.
geography_name,derived_or_optional_public_context,see source_position_contract,Derived audit field or optional public comparator context.
community_area_id,tract_community_overlay_2024.parquet,see source_position_contract,Geographic linkage metadata only; disease values are not interpolated or derived from this overlay.
community_area_ids,tract_community_overlay_2024.parquet,see source_position_contract,Geographic linkage metadata only; disease values are not interpolated or derived from this overlay.
community_area_weights_json,tract_community_overlay_2024.parquet,see source_position_contract,Geographic linkage metadata only; disease values are not interpolated or derived from this overlay.
max_community_area_weight,derived_or_optional_public_context,see source_position_contract,Derived audit field or optional public comparator context.
covered_fraction,derived_or_optional_public_context,see source_position_contract,Derived audit field or optional public comparator context.
is_crossing_tract,tract_community_overlay_2024.parquet,see source_position_contract,Geographic linkage metadata only; disease values are not interpolated or derived from this overlay.
is_sliver,tract_community_overlay_2024.parquet,see source_position_contract,Geographic linkage metadata only; disease values are not interpolated or derived from this overlay.
overlay_row_count,tract_community_overlay_2024.parquet,see source_position_contract,Geographic linkage metadata only; disease values are not interpolated or derived from this overlay.
tract_community_linkage_source_id,tract_community_overlay_2024.parquet,see source_position_contract,Geographic linkage metadata only; disease values are not interpolated or derived from this overlay.
tract_community_linkage_snapshot_id,tract_community_overlay_2024.parquet,see source_position_contract,Geographic linkage metadata only; disease values are not interpolated or derived from this overlay.
community_area_boundary_source_id,tract_community_overlay_2024.parquet,see source_position_contract,Geographic linkage metadata only; disease values are not interpolated or derived from this overlay.
