Display,Review result,Main limitation,Needed supplement or decision
Table 1,"The community-area resource contained 1,848 condition-year records; 1,843 (99.7%) were eligible and 5 were suppressed.",Records are not unique patients; reliability and denominator semantics are unresolved.,"Obtain source eligibility, deduplication, denominator, and reliability rules."
Figure 1,"The mapped resource included 782 primary-boundary tracts and 77 community areas. Across tract condition-year records, 16,669 of 18,688 were eligible and 2,015 were suppressed.","Capture is metadata, not a sampling probability; suppression varies by condition.",Add the governed capture definition and a patient-deduplicated flow if available.
Figure 2,"Direct tract and linked community-area quartiles disagreed for 255 of 722 hypertension tracts (35.3%) and 206 of 411 COPD tracts (50.1%). Within-community variation accounted for 0.195 of observed tract variation in hypertension and 0.469 in COPD. In the secondary cross-source analysis, Spearman rho was 0.880 for hypertension and 0.739 for COPD.",PLACES is not a truth standard; metric-specific samples differ; tracts cluster within areas.,"Approve 1000 cluster-bootstrap replicates, tie rules, and compatible source-uncertainty analysis."
Figure 3,Community-area labels moved 76 hypertension tracts and 101 COPD tracts into or out of Q4. Annual Q4 Jaccard overlap ranged from 60.5% to 73.1% for hypertension and 41.1% to 49.2% for COPD.,"Q4 movement, Jaccard overlap, and noncrossing disagreement are different estimands.",Prespecify the claim-supporting stability metric and add unique-person denominators if available.
Table 2,"For hypertension, exact tract/community quartile agreement was 467 of 722 tracts (64.7%), the within-community variance share was 0.195, and 76 of 722 tracts (10.5%) moved into or out of Q4. Corresponding COPD estimates were 205 of 411 (49.9%), 0.469, and 101 of 411 (24.6%).",The metrics measure different constructs and cannot be ranked on one accuracy scale.,Add approved cluster-bootstrap intervals and retain metric-specific denominators.
eTable 1,Full resource-quality and tract accounting behind Table 1.,Geography-condition-year accounting does not establish representativeness.,"Document source population, reliability rule, and unique-patient denominator."
eTable 2,"The prespecified C1 model was not run because mutual exclusivity and denominator equivalence for the 2 diabetes components remain unapproved. No coefficient, confidence interval, influence result, or residual diagnostic was estimated. Among 76 eligible community areas, a 1-IQR higher recorded COPD proportion was associated with -2.60 years of life expectancy (97.5% CI, -4.83 to -0.37) after adjustment. Residual Moran I was 0.209 (permutation P=0.0023); the spatial-error estimate was -2.73 years and did not change direction.",C1 failed its gate; C2 has 76 areas and residual spatial dependence.,"Approve estimand status, critical values, weights, and spatial sensitivity."
eTable 3,"All C2 exposure, adjustment, and intercept coefficients with HC3 intervals.",Adjustment coefficients are not etiologic effects and share one small ecological sample.,"Review coding, scaling, covariance choice, and coefficient correlation."
eTable 4,"Temporal, weighting, capture, influence, and spatial-weight sensitivity estimates.",Variants are supportive and were not designed as separate confirmatory tests.,Approve the fragility thresholds and identify the sensitivity analyses required in the paper.
eTable 5,"Direct tract and linked community-area quartiles disagreed for 255 of 722 hypertension tracts (35.3%) and 206 of 411 COPD tracts (50.1%). Within-community variation accounted for 0.195 of observed tract variation in hypertension and 0.469 in COPD. In the secondary cross-source analysis, Spearman rho was 0.880 for hypertension and 0.739 for COPD.","Agreement depends on rank ties, categories, clustering, and source role.","Approve kappa weights, AC1 categories, tie rules, and production bootstrap count."
