geography_id,time_period,condition_id,ehr_percent,mean_annual_source_denominator,ehr_rank,geography_type,denominator_unit,denominator_status,results_authorized,comparison_geography_id,is_crossing_tract,max_community_area_weight,is_dominant,comparison_rank,tract_quartile,comparison_quartile,tract_is_high,comparison_is_high,transition_state,comparison_geography_type,sensitivity_status,clinical_value_rule,zcta_id,tract_land_area,tract_water_area,overlap_land_area,overlap_water_area,overlap_fraction,zcta_count,covered_fraction,is_noncrossing,relationship_vintage,linkage_role
17031010100,2022,copd,4.17495029821,503,0.318734793187,census_tract,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,False,01,False,1,True,0.350649350649,2,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031010201,2022,copd,3.6750483559,517,0.228710462287,census_tract,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,False,01,True,0.999991823587,True,0.350649350649,1,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031010300,2022,copd,3.89408099688,642,0.272506082725,census_tract,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,False,01,False,1,True,0.350649350649,2,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031010501,2022,copd,4.1928721174,477,0.323600973236,census_tract,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,False,01,False,1,True,0.350649350649,2,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031010600,2022,copd,3.48484848485,660,0.182481751825,census_tract,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,False,01,True,0.999976790086,True,0.350649350649,1,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031020100,2022,copd,3.4375,320,0.17396593674,census_tract,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,False,02,True,0.999870683002,True,0.298701298701,1,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031020302,2022,copd,4.61165048544,412,0.39902676399,census_tract,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,False,02,False,1,True,0.298701298701,2,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031020500,2022,copd,3.51288056206,427,0.192214111922,census_tract,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,False,02,True,0.9999921205,True,0.298701298701,1,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031020802,2022,copd,2.72536687631,477,0.0948905109489,census_tract,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,False,02,False,1,True,0.298701298701,1,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031020901,2022,copd,2.84237726098,387,0.111922141119,census_tract,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,False,02,True,0.999959006088,True,0.298701298701,1,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
