condition_id,time_period,eligible_tract_count,top_quartile_jaccard,results_authorized,result_type,comparison_geography_type,sensitivity_status,geography_id,eligible_year_count,persistent_transition_state,meets_two_of_three_rule
copd,2022,411,0.456043956044,False,annual_jaccard,chicago_community_area,all_eligible,,,,
copd,2023,411,0.411428571429,False,annual_jaccard,chicago_community_area,all_eligible,,,,
copd,2024,411,0.447852760736,False,annual_jaccard,chicago_community_area,all_eligible,,,,
hypertension,2022,722,0.604545454545,False,annual_jaccard,chicago_community_area,all_eligible,,,,
hypertension,2023,722,0.619266055046,False,annual_jaccard,chicago_community_area,all_eligible,,,,
hypertension,2024,722,0.643192488263,False,annual_jaccard,chicago_community_area,all_eligible,,,,
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031010100,3,remains_below_highest_quartile,True
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031010201,3,remains_below_highest_quartile,True
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031010300,3,remains_below_highest_quartile,True
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031010501,3,remains_below_highest_quartile,True
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031010600,3,remains_below_highest_quartile,True
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031020100,3,remains_below_highest_quartile,True
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031020302,3,remains_below_highest_quartile,True
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031020500,3,remains_below_highest_quartile,True
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031020802,3,remains_below_highest_quartile,True
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031020901,3,remains_below_highest_quartile,True
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031020902,3,remains_below_highest_quartile,True
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031030101,3,remains_below_highest_quartile,True
copd,,,,False,tract_persistence,chicago_community_area,all_eligible,17031030102,3,remains_below_highest_quartile,True
