condition_id,community_quartile,tract_quartile,tract_count,tract_percent,comparison_geography_type,period,source_artifact,source_checksum,field_role,annual_sensitivity_status,noncrossing_sensitivity_status,uncertainty_aware_agreement_status,uncertainty_aware_agreement_reason,analysis_status,results_authorized,noncrossing_only
copd,1,1,42,10.2189781022,chicago_community_area,CHM 2022-2024 pooled direct values,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,reported_separately,reported_separately,not_run,Compatible PLACES intervals and denominator uncertainty were not available,geographic_resolution_sensitivity,False,False
copd,1,2,10,2.43309002433,chicago_community_area,CHM 2022-2024 pooled direct values,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,reported_separately,reported_separately,not_run,Compatible PLACES intervals and denominator uncertainty were not available,geographic_resolution_sensitivity,False,False
copd,1,3,0,0,chicago_community_area,CHM 2022-2024 pooled direct values,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,reported_separately,reported_separately,not_run,Compatible PLACES intervals and denominator uncertainty were not available,geographic_resolution_sensitivity,False,False
copd,1,4,1,0.243309002433,chicago_community_area,CHM 2022-2024 pooled direct values,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,reported_separately,reported_separately,not_run,Compatible PLACES intervals and denominator uncertainty were not available,geographic_resolution_sensitivity,False,False
copd,2,1,51,12.4087591241,chicago_community_area,CHM 2022-2024 pooled direct values,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,reported_separately,reported_separately,not_run,Compatible PLACES intervals and denominator uncertainty were not available,geographic_resolution_sensitivity,False,False
copd,2,2,51,12.4087591241,chicago_community_area,CHM 2022-2024 pooled direct values,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,reported_separately,reported_separately,not_run,Compatible PLACES intervals and denominator uncertainty were not available,geographic_resolution_sensitivity,False,False
copd,2,3,8,1.94647201946,chicago_community_area,CHM 2022-2024 pooled direct values,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,reported_separately,reported_separately,not_run,Compatible PLACES intervals and denominator uncertainty were not available,geographic_resolution_sensitivity,False,False
copd,2,4,3,0.729927007299,chicago_community_area,CHM 2022-2024 pooled direct values,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,reported_separately,reported_separately,not_run,Compatible PLACES intervals and denominator uncertainty were not available,geographic_resolution_sensitivity,False,False
copd,3,1,8,1.94647201946,chicago_community_area,CHM 2022-2024 pooled direct values,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,reported_separately,reported_separately,not_run,Compatible PLACES intervals and denominator uncertainty were not available,geographic_resolution_sensitivity,False,False
copd,3,2,28,6.81265206813,chicago_community_area,CHM 2022-2024 pooled direct values,00_master_analytic_dataset.parquet,373f0bfff77c0059b81831a1365650533f2eb8a9a12be665691e28d53f549916,derived,reported_separately,reported_separately,not_run,Compatible PLACES intervals and denominator uncertainty were not available,geographic_resolution_sensitivity,False,False
