condition_id,community_area_id,eligible_tract_count,median_rank,rank_iqr,rank_range,top_quartile_share,bottom_quartile_share,high_low_rank_coexistence,assignment_rule,max_overlay_weight,crossing_sensitivity,analysis_status,interpretation_label,results_authorized,noncrossing_only,capture_quartile_cut_points,capture_quartile_cut_point_source
copd,01,6,0.228710462287,0.217761557178,0.321167883212,0,0.5,False,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,02,6,0.178832116788,0.12895377129,0.172749391727,0,0.833333333333,False,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,03,9,0.199513381995,0.245742092457,0.440389294404,0,0.666666666667,False,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,04,1,0.245742092457,0,0,0,1,False,dominant_community_area_max_overlay_weight_gte_0.99,0.999995447002,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,05,2,0.0900243309002,0.0851581508516,0.170316301703,0,1,False,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,06,6,0.116788321168,0.147810218978,0.311435523114,0,0.833333333333,False,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,07,7,0.131386861314,0.14598540146,0.335766423358,0,0.714285714286,False,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,08,17,0.260340632603,0.360097323601,0.834549878345,0.176470588235,0.411764705882,True,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,09,1,0.270072992701,0,0,0,0,False,dominant_community_area_max_overlay_weight_gte_0.99,0.999989460392,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,10,2,0.153284671533,0.0413625304136,0.0827250608273,0,1,False,dominant_community_area_max_overlay_weight_gte_0.99,0.999983510277,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,11,4,0.284671532847,0.0784671532847,0.182481751825,0,0.25,False,dominant_community_area_max_overlay_weight_gte_0.99,0.99998374108,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,12,2,0.102189781022,0.0827250608273,0.165450121655,0,1,False,dominant_community_area_max_overlay_weight_gte_0.99,0.999999999755,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,14,2,0.103406326034,0.0596107055961,0.119221411192,0,1,False,dominant_community_area_max_overlay_weight_gte_0.99,0.999827685416,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,15,6,0.239659367397,0.0699513381995,0.226277372263,0,0.666666666667,False,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,16,4,0.215328467153,0.0456204379562,0.116788321168,0,0.75,False,dominant_community_area_max_overlay_weight_gte_0.99,0.999997104423,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,17,7,0.503649635036,0.113138686131,0.644768856448,0.142857142857,0.142857142857,True,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,18,2,0.330900243309,0.0948905109489,0.189781021898,0,0.5,False,dominant_community_area_max_overlay_weight_gte_0.99,0.999457773684,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,19,7,0.267639902676,0.144768856448,0.350364963504,0,0.428571428571,False,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,20,1,0.0754257907543,0,0,0,1,False,dominant_community_area_max_overlay_weight_gte_0.99,0.99490369442,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,21,1,0.119221411192,0,0,0,1,False,dominant_community_area_max_overlay_weight_gte_0.99,0.998011015572,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,23,7,0.52798053528,0.366180048662,0.841849148418,0.285714285714,0.285714285714,True,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,24,7,0.143552311436,0.240875912409,0.43795620438,0,0.714285714286,False,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
copd,25,21,0.790754257908,0.245742092457,0.620437956204,0.571428571429,0,False,dominant_community_area_max_overlay_weight_gte_0.99,1,all_eligible,descriptive_within_community_distribution,direct_tract_distribution_not_area_prevalence,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
