model,geography_id,fitted_value,residual,qq_theoretical_quantile,qq_sample_quantile,leverage,cooks_distance,externally_studentized_residual,analysis_status,authorization_status,primary_estimand_executed,results_authorized
C2,01,79.3679911762,-2.06703881624,-0.924428699859,-2.06703881624,0.0264949039072,0.00240099758208,-0.725075447564,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,02,79.8525764544,1.16882834561,0.695340234615,1.16882834561,0.0648728228463,0.00203718972487,0.417270892634,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,03,79.081219971,-1.51585758438,-0.461086088525,-1.51585758438,0.0460420603197,0.00233680065582,-0.536231424305,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,04,82.0207300069,-1.41512717027,-0.353539247755,-1.41512717027,0.0784979767156,0.0037210489559,-0.509233916491,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,05,83.8229121241,0.633642805917,0.424703774945,0.633642805917,0.075499582456,0.00071289884592,0.227304967784,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,06,82.4529424265,0.871988726819,0.613609076561,0.871988726819,0.0546883717554,0.000935352479508,0.30944248625,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,07,81.5597201494,1.75555657396,0.924428699859,1.75555657396,0.0601118283193,0.00421546799379,0.626127009761,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,08,78.2636990076,6.6541261224,1.83985537078,6.6541261224,0.0905411898558,0.0974250760224,2.51349990053,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,09,81.4125503946,-0.904921431296,-0.11569440979,-0.904921431296,0.0399937136735,0.000714288889609,-0.318675467685,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,10,81.5614864074,0.526590292633,0.353539247755,0.526590292633,0.0719605486052,0.000465710311841,0.188519761235,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,11,80.5198941557,-0.0703127223197,0.0494931251919,-0.0703127223197,0.0765882168218,8.92580774338e-06,-0.0252286286729,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,12,81.7212274909,0.707616245758,0.461086088525,0.707616245758,0.0426471768691,0.000468328298971,0.249466930687,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,13,78.95626762,2.8888921167,1.15034938038,2.8888921167,0.0671347836307,0.012941392512,1.03932267749,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,14,81.9540747522,-1.2391740189,-0.249942806253,-1.2391740189,0.0470956097513,0.00160086583096,-0.438295275296,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,15,80.7397877877,-0.771127867717,-0.0825485329041,-0.771127867717,0.0320101263521,0.00040832608537,-0.270381126474,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,16,81.7691823171,-0.221650507071,0.0164917230219,-0.221650507071,0.0351212724425,3.72538194218e-05,-0.0778048819631,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,17,78.5807359737,1.63166071963,0.827604115393,1.63166071963,0.0973530221615,0.00639413584028,0.593652913374,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,18,78.2190527896,2.58082823378,1.08863292938,2.58082823378,0.0630618734205,0.00961771304206,0.924985969215,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,19,80.1079512794,0.0634571539535,0.0825485329041,0.0634571539535,0.0360337552258,3.13874200617e-06,0.0222846939703,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,20,81.9137436426,-1.28661643258,-0.284123433309,-1.28661643258,0.0476114887192,0.00174658699267,-0.455248695332,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,21,81.9895377714,-0.539878764716,-0.0494931251919,-0.539878764716,0.072400636994,0.00049297235215,-0.193325458145,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,22,83.0094609419,-1.58527060859,-0.535787730056,-1.58527060859,0.0701207242448,0.00409645925358,-0.568144784939,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,23,76.5311712764,-1.0307987331,-0.182407222834,-1.0307987331,0.0440227836364,0.00102881843319,-0.363849488671,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,24,82.6772375671,-1.46787638043,-0.424703774945,-1.46787638043,0.0779669110207,0.00397195982714,-0.528138349975,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,25,74.0118112064,-2.55076255639,-1.08863292938,-2.55076255639,0.0522574385463,0.00760879676763,-0.908790972929,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,26,70.8494029025,-4.18387153254,-2.05921460987,-4.18387153254,0.103019103463,0.0450522648476,-1.54941895746,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,27,71.4123629032,-1.76823297324,-0.653928463849,-1.76823297324,0.100770232571,0.00783210405496,-0.644858361644,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,28,77.575945857,0.493684003007,0.318639363964,0.493684003007,0.163721609009,0.00114686138999,0.18618218113,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,29,72.2557740819,-4.06986685192,-1.68439548311,-4.06986685192,0.0837575433786,0.03321789266,-1.48936592711,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,30,80.3911063753,0.427366968069,0.216051802497,0.427366968069,0.115821991716,0.000543903787722,0.156734220311,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,31,79.1368415984,3.36542389493,1.28908533567,3.36542389493,0.0255398537772,0.00612319878604,1.18742371295,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,32,80.1530932048,7.68939541519,2.05921460987,7.68939541519,0.0766335098255,0.106822676355,2.92512725436,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,33,80.8003514859,-0.341123925899,-0.0164917230219,-0.341123925899,0.129094949736,0.000398107688891,-0.126046910591,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,34,72.5990874562,10.1649752271,2.4794668853,10.1649752271,0.0602864453712,0.141791407127,4.01580186362,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,35,73.2888318018,0.866744284845,0.574263545822,0.866744284845,0.0615956630701,0.00105623526599,0.30871030918,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
C2,36,71.4739950192,0.57603436748,0.388875264283,0.57603436748,0.128077429391,0.00112362688236,0.212768480445,freeze_candidate_primary_model_unsecured,results_not_authorized,True,False
