zcta_id,geography_id,tract_land_area,tract_water_area,overlap_land_area,overlap_water_area,overlap_fraction,zcta_count,is_crossing_tract,is_dominant,dominant_zcta_id,covered_fraction,is_noncrossing,relationship_vintage,linkage_role
60626,17031010100,379511,0,379511,0,1,1,False,True,60626,1,True,2020,comparison_metadata_only_not_disease_aggregation
60626,17031010201,504464,0,229333,0,0.454607266326,2,True,False,60645,1,False,2020,comparison_metadata_only_not_disease_aggregation
60645,17031010201,504464,0,275131,0,0.545392733674,2,True,True,60645,1,False,2020,comparison_metadata_only_not_disease_aggregation
60626,17031010202,351253,0,351253,0,1,1,False,True,60626,1,True,2020,comparison_metadata_only_not_disease_aggregation
60626,17031010300,472522,0,472522,0,1,1,False,True,60626,1,True,2020,comparison_metadata_only_not_disease_aggregation
60626,17031010501,202133,0,202133,0,1,1,False,True,60626,1,True,2020,comparison_metadata_only_not_disease_aggregation
60626,17031010502,180386,0,180386,0,1,1,False,True,60626,1,True,2020,comparison_metadata_only_not_disease_aggregation
60626,17031010503,194213,0,185588,0,0.95558999655,2,True,True,60626,1,False,2020,comparison_metadata_only_not_disease_aggregation
60660,17031010503,194213,0,8625,0,0.0444100034498,2,True,False,60626,1,False,2020,comparison_metadata_only_not_disease_aggregation
60626,17031010600,495017,0,495017,0,1,1,False,True,60626,1,True,2020,comparison_metadata_only_not_disease_aggregation
60626,17031010701,429690,0,318304,0,0.740775908213,2,True,True,60626,1,False,2020,comparison_metadata_only_not_disease_aggregation
60645,17031010701,429690,0,111386,0,0.259224091787,2,True,False,60626,1,False,2020,comparison_metadata_only_not_disease_aggregation
60626,17031010702,357548,0,357548,0,1,1,False,True,60626,1,True,2020,comparison_metadata_only_not_disease_aggregation
60645,17031020100,411155,0,411155,0,1,1,False,True,60645,1,True,2020,comparison_metadata_only_not_disease_aggregation
60645,17031020200,1241961,0,1241961,0,1,1,False,True,60645,1,True,2020,comparison_metadata_only_not_disease_aggregation
60645,17031020301,825541,0,825541,0,1,1,False,True,60645,1,True,2020,comparison_metadata_only_not_disease_aggregation
60645,17031020302,639920,0,639920,0,1,1,False,True,60645,1,True,2020,comparison_metadata_only_not_disease_aggregation
60645,17031020400,555577,0,555577,0,1,1,False,True,60645,1,True,2020,comparison_metadata_only_not_disease_aggregation
60626,17031020500,771659,0,90302,0,0.117023192887,4,True,False,60645,1,False,2020,comparison_metadata_only_not_disease_aggregation
60645,17031020500,771659,0,648136,0,0.839925407466,4,True,True,60645,1,False,2020,comparison_metadata_only_not_disease_aggregation
60659,17031020500,771659,0,26410,0,0.0342249620623,4,True,False,60645,1,False,2020,comparison_metadata_only_not_disease_aggregation
60660,17031020500,771659,0,6811,0,0.00882643758448,4,True,False,60645,1,False,2020,comparison_metadata_only_not_disease_aggregation
60645,17031020601,591329,0,565733,0,0.956714451684,2,True,True,60645,1,False,2020,comparison_metadata_only_not_disease_aggregation
60659,17031020601,591329,0,25596,0,0.0432855483157,2,True,False,60645,1,False,2020,comparison_metadata_only_not_disease_aggregation
60645,17031020602,492027,0,471352,0,0.957979948255,2,True,True,60645,1,False,2020,comparison_metadata_only_not_disease_aggregation
60659,17031020602,492027,0,20675,0,0.0420200517451,2,True,False,60645,1,False,2020,comparison_metadata_only_not_disease_aggregation
60659,17031020701,591396,0,591396,0,1,1,False,True,60659,1,True,2020,comparison_metadata_only_not_disease_aggregation
60645,17031020702,704323,0,19173,0,0.0272218854134,2,True,False,60659,1,False,2020,comparison_metadata_only_not_disease_aggregation
60659,17031020702,704323,0,685150,0,0.972778114587,2,True,True,60659,1,False,2020,comparison_metadata_only_not_disease_aggregation
60659,17031020801,655953,0,655953,0,1,1,False,True,60659,1,True,2020,comparison_metadata_only_not_disease_aggregation
60659,17031020802,644017,0,644017,0,1,1,False,True,60659,1,True,2020,comparison_metadata_only_not_disease_aggregation
60659,17031020901,485422,2818,485422,2818,1,1,False,True,60659,1,True,2020,comparison_metadata_only_not_disease_aggregation
60659,17031020902,501886,0,132815,0,0.264631808817,2,True,False,60660,1,False,2020,comparison_metadata_only_not_disease_aggregation
60660,17031020902,501886,0,369071,0,0.735368191183,2,True,True,60660,1,False,2020,comparison_metadata_only_not_disease_aggregation
60660,17031030101,127283,110999,127283,110999,1,1,False,True,60660,1,True,2020,comparison_metadata_only_not_disease_aggregation
60660,17031030102,113330,87128,113330,87128,1,1,False,True,60660,1,True,2020,comparison_metadata_only_not_disease_aggregation
60660,17031030103,86631,101282,86631,101282,1,1,False,True,60660,1,True,2020,comparison_metadata_only_not_disease_aggregation
60660,17031030104,110578,70440,110578,70440,1,1,False,True,60660,1,True,2020,comparison_metadata_only_not_disease_aggregation
60660,17031030200,666198,0,666198,0,1,1,False,True,60660,1,True,2020,comparison_metadata_only_not_disease_aggregation
60660,17031030300,314151,0,314151,0,1,1,False,True,60660,1,True,2020,comparison_metadata_only_not_disease_aggregation
60660,17031030400,346486,0,346486,0,1,1,False,True,60660,1,True,2020,comparison_metadata_only_not_disease_aggregation
60660,17031030500,618133,0,618133,0,1,1,False,True,60660,1,True,2020,comparison_metadata_only_not_disease_aggregation
60660,17031030601,149770,98467,149770,98467,1,1,False,True,60660,1,True,2020,comparison_metadata_only_not_disease_aggregation
60660,17031030603,116000,0,116000,0,1,1,False,True,60660,1,True,2020,comparison_metadata_only_not_disease_aggregation
