geography_id,condition_id,numerator,denominator,eligible_years,ehr_percent,ehr_rank,geography_type,results_authorized,mean_annual_source_denominator,denominator_years,denominator_unit,denominator_status,comparison_geography_id,is_crossing_tract,max_community_area_weight,is_dominant,comparison_rank,tract_quartile,comparison_quartile,tract_is_high,comparison_is_high,transition_state,comparison_geography_type,sensitivity_status,clinical_value_rule,zcta_id,tract_land_area,tract_water_area,overlap_land_area,overlap_water_area,overlap_fraction,zcta_count,covered_fraction,is_noncrossing,relationship_vintage,linkage_role
17031010100,copd,57,1412,3,4.03682719547,0.29197080292,census_tract,False,470.666666667,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,01,False,1,True,0.328947368421,2,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031010201,copd,50,1461,3,3.42231348392,0.165450121655,census_tract,False,487,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,01,True,0.999991823587,True,0.328947368421,1,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031010300,copd,84,1805,3,4.65373961219,0.38199513382,census_tract,False,601.666666667,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,01,False,1,True,0.328947368421,2,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031010501,copd,58,1302,3,4.45468509985,0.350364963504,census_tract,False,434,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,01,False,1,True,0.328947368421,2,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031010600,copd,55,1832,3,3.00218340611,0.102189781022,census_tract,False,610.666666667,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,01,True,0.999976790086,True,0.328947368421,1,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031020100,copd,35,930,3,3.76344086022,0.243309002433,census_tract,False,310,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,02,True,0.999870683002,True,0.210526315789,1,1,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031020302,copd,44,1193,3,3.68818105616,0.221411192214,census_tract,False,397.666666667,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,02,False,1,True,0.210526315789,1,1,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031020500,copd,39,1180,3,3.30508474576,0.136253041363,census_tract,False,393.333333333,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,02,True,0.9999921205,True,0.210526315789,1,1,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031020802,copd,41,1366,3,3.00146412884,0.0997566909976,census_tract,False,455.333333333,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,02,False,1,True,0.210526315789,1,1,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031020901,copd,33,1120,3,2.94642857143,0.0924574209246,census_tract,False,373.333333333,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,02,True,0.999959006088,True,0.210526315789,1,1,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031020902,copd,35,915,3,3.82513661202,0.265206812652,census_tract,False,305,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,02,True,0.998157184868,True,0.210526315789,2,1,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031030101,copd,109,1904,3,5.72478991597,0.523114355231,census_tract,False,634.666666667,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,77,False,1,True,0.407894736842,3,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031030102,copd,68,1239,3,5.48829701372,0.496350364964,census_tract,False,413,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,77,False,1,True,0.407894736842,2,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031030200,copd,39,2205,3,1.76870748299,0.00973236009732,census_tract,False,735,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,77,True,0.999984187973,True,0.407894736842,1,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031030500,copd,61,2398,3,2.54378648874,0.0632603406326,census_tract,False,799.333333333,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,77,False,1,True,0.407894736842,1,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031030601,copd,54,1163,3,4.64316423044,0.379562043796,census_tract,False,387.666666667,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,77,False,1,True,0.407894736842,2,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031030604,copd,104,1555,3,6.68810289389,0.678832116788,census_tract,False,518.333333333,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,77,False,1,True,0.407894736842,3,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031030701,copd,48,812,3,5.91133004926,0.552311435523,census_tract,False,270.666666667,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,77,False,1,True,0.407894736842,3,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031030702,copd,61,1335,3,4.56928838951,0.363746958637,census_tract,False,445,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,77,False,1,True,0.407894736842,2,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
17031030703,copd,61,1335,3,4.56928838951,0.363746958637,census_tract,False,445,3,mean_annual_source_denominator_not_unique_people,guarded_source_position_25,77,True,0.999966552245,True,0.407894736842,2,2,False,False,remains_below_highest_quartile,chicago_community_area,all_eligible,direct_tract_and_direct_coarser_values_only,,,,,,,,,,,
