source_id,organization,dataset_title,analytical_purpose,transport,official_domain,catalog_id,release,years,geography,expected_grain,primary_key,verification_status,access_date,endpoint_url,fallback_status
cdc_places_current_tract,Centers for Disease Control and Prevention,"PLACES: Census Tract Data (GIS Friendly Format), 2025 release","External model-based tract estimates for high blood pressure, diagnosed diabetes, and COPD; not observed EHR prevalence.",socrata,data.cdc.gov,yjkw-uj5s,2025 release; BRFSS model inputs 2023/2022; 2023 tract boundaries,2025 release|2023 BRFSS|2022 BRFSS biennial measures|2023 tract boundaries,"Request restricts to Cook County, Illinois tracts; downstream analysis intersects the Chicago study boundary","one Cook County census tract per row with model-based hypertension, diabetes, and COPD estimates and confidence intervals",tractfips,verified,2026-07-14,https://data.cdc.gov/resource/yjkw-uj5s.csv,frozen_snapshot_available
cdc_svi_2022_tract,"CDC/Agency for Toxic Substances and Disease Registry, GRASP","CDC/ATSDR Social Vulnerability Index 2022 Database, Illinois","Tract-level social-vulnerability covariates, retaining release-specific estimates, margins, flags, and percentiles.",http_file,svi.cdc.gov,,CDC/ATSDR SVI 2022; corrected MP_CROWD values published 2024-12-11,2022,Illinois census tracts,one row per 2022 Illinois census tract,FIPS,verified,2026-07-14,https://svi.cdc.gov/Documents/Data/2022/csv/states/Illinois.csv,frozen_snapshot_available
census_acs_2019_5y,United States Census Bureau,2019 ACS 5-Year Detailed Tables,"Pre-2020-tract demographic, socioeconomic, insurance, and adult-population covariates with margins of error.",http_file,www2.census.gov,,2019 ACS 5-year sequence-based Summary File,2019,Illinois tracts and block groups; analysis filters Chicago/Cook County tracts,tract × ACS detailed-table cell,GEO_ID|table_id|variable,verified,2026-07-14,https://www2.census.gov/programs-surveys/acs/summary_file/2019/data/5_year_seq_by_state/Illinois_Tracts_Block_Groups_Only.zip,frozen_snapshot_available
census_acs_2022_5y,United States Census Bureau,2022 ACS 5-Year Detailed Tables,"2020-era-tract demographic, socioeconomic, insurance, and adult-population covariates with margins of error.",http_file,www2.census.gov,,2022 ACS 5-year table-based Summary File,2022,National table files joined to 2020-era Illinois tracts; analysis filters Chicago/Cook County,tract × ACS detailed-table cell,GEO_ID|table_id|variable,verified,2026-07-14,https://www2.census.gov/programs-surveys/acs/summary_file/2022/table-based-SF/data/5YRData/,frozen_snapshot_available
census_acs_2024_5y,United States Census Bureau,2024 ACS 5-Year Detailed Tables,"Current 2020-era-tract demographic, socioeconomic, insurance, and adult-population covariates with margins of error.",http_file,www2.census.gov,,2024 ACS 5-year table-based Summary File,2024,National table files joined to 2020-era Illinois tracts; analysis filters Chicago/Cook County,tract × ACS detailed-table cell,GEO_ID|table_id|variable,verified,2026-07-14,https://www2.census.gov/programs-surveys/acs/summary_file/2024/table-based-SF/data/5YRData/,frozen_snapshot_available
census_tiger_2019_tract,United States Census Bureau,2019 TIGER/Line Shapefiles — Illinois Census Tracts,Authoritative pre-2020 tract geometry for the 2019 ACS release.,http_file,www2.census.gov,,TIGER/Line 2019,2019,Illinois census tracts (state FIPS 17),one geometry per 2019 Illinois tract GEOID,GEOID,verified,2026-07-14,https://www2.census.gov/geo/tiger/TIGER2019/TRACT/tl_2019_17_tract.zip,frozen_snapshot_available
census_tiger_2020_tract,United States Census Bureau,2020 TIGER/Line Shapefiles — Illinois Census Tracts,Authoritative 2020 tract geometry and vintage transition reference.,http_file,www2.census.gov,,TIGER/Line 2020,2020,Illinois census tracts (state FIPS 17),one geometry per 2020 Illinois tract GEOID,GEOID,verified,2026-07-14,https://www2.census.gov/geo/tiger/TIGER2020/TRACT/tl_2020_17_tract.zip,frozen_snapshot_available
census_tiger_2023_tract,United States Census Bureau,2023 TIGER/Line Shapefiles — Illinois Census Tracts,Authoritative tract geometry required by the PLACES 2025 release.,http_file,www2.census.gov,,TIGER/Line 2023,2023,Illinois census tracts (state FIPS 17),one geometry per 2023 Illinois tract GEOID,GEOID,verified,2026-07-14,https://www2.census.gov/geo/tiger/TIGER2023/TRACT/tl_2023_17_tract.zip,frozen_snapshot_available
census_tiger_2024_tract,United States Census Bureau,2024 TIGER/Line Shapefiles — Illinois Census Tracts,Authoritative current tract geometry for the 2024 ACS release.,http_file,www2.census.gov,,TIGER/Line 2024,2024,Illinois census tracts (state FIPS 17),one geometry per 2024 Illinois tract GEOID,GEOID,verified,2026-07-14,https://www2.census.gov/geo/tiger/TIGER2024/TRACT/tl_2024_17_tract.zip,frozen_snapshot_available
census_zcta_2020_tract_relationship,United States Census Bureau,2020 ZCTA to 2020 Census Tract Relationship File,Comparison-only linkage of direct tract and direct ZCTA measures with overlap-area metadata.,http_file,www2.census.gov,,2020 Census geographic relationship file,2020,National 2020 ZCTA by 2020 census tract overlap relationships; analysis filters eligible Chicago tracts,"one ZCTA-tract overlap relationship per row, including land and water overlap areas",GEOID_ZCTA5_20|GEOID_TRACT_20,verified,2026-07-16,https://www2.census.gov/geo/docs/maps-data/data/rel2020/zcta520/tab20_zcta520_tract20_natl.txt,frozen_snapshot_available
chicago_community_areas_current,City of Chicago,Boundaries - Community Areas,"Official 77-community-area boundary, crosswalk, and display geometry.",socrata,data.cityofchicago.org,igwz-8jzy,Current community area boundaries; updated as needed; metadata rows updated 2025-04-22,current,77 Chicago community areas,one polygon per official Chicago community area,area_numbe,verified,2026-07-14,https://data.cityofchicago.org/resource/igwz-8jzy.geojson,frozen_snapshot_available
chicago_health_atlas_life_expectancy,Chicago Health Atlas,Life expectancy,Community-area life-expectancy outcome and inequity context.,documented_export,chicagohealthatlas.org,VRLE,Live API coverage verified 2026-07-14; frozen snapshot 2026-07-13,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,77 Chicago community areas (API layer: neighborhood),community area × annual period × population stratum,g|l|a|p|d,verified,2026-07-14,https://chicagohealthatlas.org/api/v1/data/,frozen_snapshot_available
chicago_health_atlas_mortality,Chicago Health Atlas,All-cause mortality rate,Community-area age-adjusted all-cause mortality outcome and life-expectancy comparator.,documented_export,chicagohealthatlas.org,VRDTHR,Live API coverage verified 2026-07-14; frozen snapshot 2026-07-13,2010-2014|2011-2015|2012-2016|2013-2017|2014-2018|2015-2019|2016-2020|2017-2021|2018-2022|2019-2023|2020-2024,77 Chicago community areas (API layer: neighborhood),community area × five-year period × population stratum,g|l|a|p|d,verified,2026-07-14,https://chicagohealthatlas.org/api/v1/data/,frozen_snapshot_available
hrsa_health_centers_current,"Health Resources and Services Administration, Bureau of Primary Health Care",Health Center Service Delivery and Look-Alike Sites,Current FQHC and look-alike service-delivery site locations for the bounded planning demonstration.,http_file,data.hrsa.gov,PrimaryHealthCareFacilities_FS/MapServer/0,Daily source; official page updated 2026-07-14; frozen snapshot 2026-07-13 retained,current as of 2026-07-14,National service-delivery and look-alike site file; downstream filter to Chicago/Cook County,one row per health center service-delivery site record,Health Center Number|BPHC Assigned Number,verified,2026-07-14,https://data.hrsa.gov/DataDownload/DD_Files/Health_Center_Service_Delivery_and_LookAlike_Sites.csv,frozen_snapshot_available
metopio_catalog,Metopio,Metopio public API catalog,Curated discovery catalog and cross-source metadata only; observation access remains credential-gated and is not required for Task 11.,documented_export,metop.io,public_api_v1,Public catalog snapshot 2026-07-13; live API root reverified 2026-07-14,current catalog,Public unauthenticated catalog has limited geography coverage; no observation geography is inferred,one catalog record per API metadata object type,endpoint|object_id,verified,2026-07-14,https://metop.io/api/v1/,authenticated_observations_pending
